Name,Accelerometer_Day,Accelerometer_Hour,Accelerometer_Mean,Accelerometer_Std,Accelerometer_Min,Accelerometer_Q1,Accelerometer_Q2,Accelerometer_Q3,Accelerometer_Max,Accelerometer_Skew,Accelerometer_Kurtosis,Accelerometer_Range
Z_007_Day_3_Hour_21,3,21,9.849841844129909,0.3617648850801057,8.87750121756946,9.696446243636965,9.850088480503398,9.974210217640024,10.89030896479547,0.14731601439632244,0.8489925625801797,2.0128077472260095
Z_007_Day_3_Hour_22,3,22,9.852127804250326,0.2642157806205343,9.09680900321294,9.753922124544781,9.839837938692765,9.934285290648836,10.652929564750227,0.2470964702247611,1.390503019607574,1.5561205615372877
Z_007_Day_4_Hour_08,4,8,9.877530429527631,0.27550079347164086,9.248524421745163,9.735328482841647,9.857431849640196,10.01134960700427,10.56167859267632,0.23912646537452373,0.044728446994851456,1.3131541709311563
Z_007_Day_4_Hour_09,4,9,10.027047155139872,0.9253504160329493,8.226011497800782,9.39227346180371,9.903694215302934,10.668472107014347,12.002883135283144,0.24683758707135522,-0.6938476151715425,3.776871637482362
Z_007_Day_4_Hour_10,4,10,9.828963123874795,0.26830844792461034,9.127960067684674,9.726110032288027,9.805707463707632,9.897685066424657,10.635684446868204,0.4557588909126757,1.2901747608586245,1.5077243791835304
Z_007_Day_4_Hour_19,4,19,9.859036462647198,0.2324739691871815,9.103565482306447,9.78869953919678,9.851741583530574,9.918215885145345,10.64023133819253,0.26512430881640875,2.9003573055840555,1.536665855886083
Z_007_Day_4_Hour_22,4,22,9.8567666228778,0.0809570187325857,9.624505270657234,9.80790754611406,9.855107869531547,9.90297355152527,10.09835506065346,0.11695946869567045,0.4328474195533505,0.4738497899962262
Z_007_Day_5_Hour_08,5,8,9.762307939523808,0.07766724964294776,9.426478602738014,9.735477697413847,9.760192418920898,9.784410699001128,10.106741167030174,0.5264961419106395,6.3962423817479515,0.6802625642921605
Z_007_Day_5_Hour_10,5,10,9.876070514512207,0.15197407009710312,9.371115101300665,9.805855905354694,9.877670785839038,9.942298745824303,10.401550621929562,0.17328414335630854,2.0578189857940723,1.030435520628897
Z_007_Day_5_Hour_20,5,20,9.869596855009837,0.22583819206858655,9.076789751101638,9.815706302120857,9.861302185299644,9.909388943925444,10.715166733222533,0.35707430307707244,3.988991444171461,1.6383769821208958
Z_007_Day_5_Hour_21,5,21,9.825013360479298,0.18070791541625955,9.25014780490507,9.763121235123744,9.821578016689298,9.883049724777905,10.425065686060552,0.07462678013230725,2.2977326889936247,1.1749178811554817
Z_007_Day_5_Hour_22,5,22,9.783730331896509,0.15788760803852397,9.291533931046574,9.72488054293246,9.781131159494835,9.840637245383263,10.308778142905552,0.13003122426477218,1.9091076884522193,1.0172442118589782
Z_007_Day_6_Hour_09,6,9,9.840768022646824,0.10131542196263334,9.429015778186589,9.795230902900249,9.83770787973262,9.884647916656204,10.265434670026192,0.0974904622669122,3.8271187878651265,0.8364188918396032
Z_007_Day_6_Hour_10,6,10,9.778507150720845,0.2011348532102373,8.981759443159161,9.745386648323112,9.769890308974055,9.793914696546084,10.658425418826406,0.5696807956770152,7.150600112149576,1.6766659756672446
Z_007_Day_6_Hour_12,6,12,9.871578588572296,0.0986059769206607,9.540501943230451,9.824264809349046,9.866872498397973,9.912893339710124,10.2158569165844,0.280734453234889,1.954908368371341,0.675354973353949
Z_007_Day_6_Hour_13,6,13,9.876728661628652,0.16958610132426868,9.337407574616865,9.816923390000516,9.87292102910743,9.931664400679761,10.454917024056702,0.133341698453839,2.144806471823972,1.1175094494398365
Z_007_Day_6_Hour_14,6,14,9.82596108665671,0.16402376596409457,9.381831626110747,9.752215766610913,9.815547499028034,9.891627812074201,10.28552150724851,0.21176659528557565,0.7957357433195624,0.9036898811377636
